"Favorite Type","Item Reference","Item Description","Last Modified",Preference
Song,871193388,"Andrew Rayel - One In a Million (feat. Jonathan Mendelsohn)",2020-12-13T18:02:28.740Z,LIKE
Song,388111052,"Charlie Dée - Have It All (Tiësto Remix)",2020-12-12T17:09:45.345Z,LIKE
Song,217928841,"Ayu - M (Above & Beyond Typhoon Dub)",2020-12-12T02:02:22.201Z,LIKE
Song,290435570,"deadmau5 - Faxing Berlin",2020-12-12T02:00:01.174Z,LIKE
Song,925722475,"Aly & Fila & Ferry Tayle - Nubia (Album Mix)",2020-12-11T19:15:10.013Z,LIKE
Song,628378268,"Solarstone - Seven Cities (Pure Mix)",2020-12-11T19:10:03.628Z,LIKE
Song,403710236,"W&W & Ben Gold - Break the Rules (Original Mix)",2020-12-11T19:03:01.032Z,LIKE
Song,354090700,"Oliver Smith - Nimbus",2020-12-11T16:01:39.082Z,LIKE
Song,457004780,"Super8 & Tab - My Enemy (Rank 1 Remix) [feat. Julie Thompson]",2020-12-11T03:26:42.877Z,LIKE
Song,1542689176,"Dash Berlin & Emma Hewitt - Waiting (Extended Mix)",2020-12-11T02:43:23.445Z,LIKE
Song,966174466,"Alex M.O.R.P.H. - 4Ever (feat. Natalie Gioia) [Dub Radio Edit]",2020-12-11T02:34:38.310Z,LIKE
Song,1038408579,"Paul Oakenfold & Cassandra Fox - Touch Me (Including Bonus Commentary)",2020-12-11T02:08:34.957Z,LIKE
Song,697403224,"Luis Miguel - Palabra De Honor",2020-12-11T00:56:35.744Z,LIKE
Song,1440647885,"Queen - Stone Cold Crazy",2020-12-11T00:52:45.551Z,DISLIKE
Song,1440627466,"Queen - Ogre Battle",2020-12-11T00:52:36.094Z,DISLIKE
Song,1489676434,"JIL - RoughProjects-Tell Me It Wasn't True",2020-12-08T02:18:00.867Z,LIKE
Song,1147167078,"Iron Maiden - Phantom of the Opera",2020-12-08T02:08:15.094Z,LIKE
Song,1440824454,"Anne Hathaway - I Dreamed a Dream",2020-12-08T02:02:05.698Z,LIKE
Song,715917364,"Enigma - Sadeness (Part I) [Radio Edit]",2020-12-07T19:27:43.221Z,LIKE
Song,1490572195,"John Eliot Gardiner & London Symphony Orchestra - Symphony No. 1 in B-Flat Major, Op. 38: IV. Allegro animato e grazioso",2020-12-05T01:39:36.552Z,LIKE
Song,1440563162,"Yvonne S. Moriarty, Walt Fowler, Ladd McIntosh, Elizabeth Finch, Jack Smalley, Bruce Fowler, Gavin Greenaway, The Lyndhurst Orchestra, Lisa Gerrard & Hans Zimmer - Progeny",2020-12-05T00:08:33.070Z,LIKE
Song,726382462,"Héroes del Silencio - Maldito Duende",2020-12-04T23:14:38.746Z,LIKE
Song,1440658917,"Kiss - I Was Made for Lovin' You",2020-12-02T19:43:52.012Z,LIKE
Song,209695192,"Ozzy Osbourne - Mama, I'm Coming Home",2020-12-02T19:20:12.760Z,LIKE
Song,1506575073,"Peter Schmalfuss - 3 Nocturnes, Op. 9: No. 2 in E-Flat Major",2020-12-01T19:22:35.890Z,LIKE
Song,1443508671,"Timbiriche - Corro, Vuelo, Me Acelero",2020-11-26T18:04:51.228Z,LIKE
Song,1443481713,"Timbiriche - Mírame (Cuestion de Tiempo)",2020-11-26T17:55:04.758Z,LIKE
Song,1454728959,"Amanda Miguel - Castillos",2020-11-25T17:37:34.685Z,LIKE
Song,338547869,"Banjos - Cotton Eyed Joe",2020-11-24T19:38:02.068Z,LIKE
Song,41297651,"Vangelis - Conquest of Paradise",2020-11-24T19:27:19.063Z,LIKE
Song,1510789223,"Gustav Kuhn, Orchester der Tiroler Festspiele, Hiroko Kouda, Monika Waeckerle, Patrizio Saudelli, Xiaoliang Li, Inntal Chor & Chorvereinigung Erl - Requiem - Lacrimosa",2020-11-24T03:16:00.567Z,LIKE
Song,111597050,"Cinderella - Don't Know What You've Got ('Til It's Gone) [Live]",2020-11-24T03:03:00.550Z,LIKE
Song,1421242781,"Travis Scott - SICKO MODE",2020-09-13T20:01:09Z,LIKE
Song,1440788691,"Ellie Goulding - Lights (Single Version)",2020-09-12T22:08:03.101Z,LIKE
Song,1496639192,"Justin Bieber - Habitual",2020-09-06T00:31:24.108Z,LIKE
Song,1458172398,"K CAMP - Lottery (Renegade)",2020-09-06T00:22:49.555Z,LIKE
Song,1360506336,"Doja Cat - Candy",2020-08-22T22:49:58.142Z,LIKE
Song,1039568691,"Jacob Mandell, James Isley, Messiah College Chamber Singers & Linda L. Tedford - Da Coconut Nut",2019-11-15T01:34:50.275Z,DISLIKE
Song,331049683,"She Wants Revenge - Love Me",2019-07-11T03:56:59.462Z,LIKE
Song,587384083,"Atoms for Peace - Reverse Running",2019-07-07T21:35:45.386Z,LIKE
Song,932111795,"Unto Ashes - Kathy’s Song (Apoptygma Berzerk)",2019-06-25T18:42:05Z,LIKE
Song,413196423,"IAMX - Simple Girl",2019-06-25T18:34:23Z,LIKE
Song,1603343227,"IAMX - Simple Girl",2019-06-25T18:34:18Z,LIKE
Song,1459983631,"Fix8:Sëd8 - Embolism",2019-06-24T18:27:16.058Z,LIKE
Artist,1004130511,Poppy,2023-02-17T03:27:37.170Z,LIKE
