"Play Duration Milliseconds","First Played","Last Played","Source Type","Date Created"
18492416,1748217888860,1748304143978,"UNKNOWN_DEVICE, ANDROID",20250526
15448385,1748132113824,1748218413349,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250525
6487855,1748092067797,1748130651331,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250524
10137027,1747958532267,1748038029037,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250523
12661231,1747875791183,1747955148922,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250522
4173075,1747787558318,1747863679809,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250521
7963632,1747703783622,1747787549265,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250520
8990096,1747614841777,1747696802579,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250519
19819288,1747530219887,1747614820366,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250518
18824926,1747440043866,1747507827185,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250517
11214001,1747353949935,1747440010177,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250516
23026881,1747267336146,1747353848106,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250515
9907316,1747183346684,1747267204488,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250514
6706858,1747094311339,1747175458793,"IPHONE, ANDROID",20250513
13739360,1747010352599,1747094310284,"IPHONE, ANDROID",20250512
6919404,1746925408118,1747003674300,"UNKNOWN_DEVICE, IPHONE",20250511
5841709,1746839417834,1746896057669,"UNKNOWN_DEVICE, IPHONE",20250510
4831516,1746752534258,1746810332707,"UNKNOWN_DEVICE, IPHONE",20250509
12841612,1746666144463,1746742848450,"UNKNOWN_DEVICE, IPHONE",20250508
10812339,1746575910067,1746660668344,"UNKNOWN_DEVICE, IPHONE",20250507
3715709,1746529214062,1746575909489,"UNKNOWN_DEVICE, IPHONE",20250506
4396888,1746448115470,1746481309522,"UNKNOWN_DEVICE, IPHONE",20250505
8962881,1746317122872,1746401201150,"UNKNOWN_DEVICE, IPHONE",20250504
9077594,1746234262341,1746315823361,"UNKNOWN_DEVICE, IPHONE",20250503
40310040,1746147887171,1746229133094,"UNKNOWN_DEVICE, IPHONE",20250502
13223100,1746061521237,1746115974794,"UNKNOWN_DEVICE, IPHONE",20250501
4976671,1746010804113,1746056889356,"UNKNOWN_DEVICE, IPHONE",20250430
6874241,1745891021582,1745958608648,"UNKNOWN_DEVICE, IPHONE",20250429
5838249,1745803690040,1745866705595,"UNKNOWN_DEVICE, IPHONE",20250428
13526538,1745715837379,1745788126656,"UNKNOWN_DEVICE, IPHONE",20250427
13913145,1745626595835,1745711641632,"UNKNOWN_DEVICE, IPHONE",20250426
4145917,1745583454003,1745599852989,"UNKNOWN_DEVICE, IPHONE",20250425
4476218,1745456924057,1745514325676,"UNKNOWN_DEVICE, IPHONE",20250424
6007000,1745406021890,1745440354967,UNKNOWN_DEVICE,20250423
8529831,1745324894920,1745354033983,"UNKNOWN_DEVICE, IPHONE",20250422
1225000,1745240079357,1745272652819,UNKNOWN_DEVICE,20250421
9093626,1745108151009,1745191270456,"UNKNOWN_DEVICE, IPHONE",20250420
5024429,1745024611355,1745086720014,"UNKNOWN_DEVICE, IPHONE",20250419
3751046,1744938360910,1744994981485,"UNKNOWN_DEVICE, IPHONE",20250418
3979409,1744852218190,1744913375437,"UNKNOWN_DEVICE, IPHONE",20250417
5171489,1744810746811,1744852217596,"UNKNOWN_DEVICE, IPHONE",20250416
12994000,1744726925661,1744744100997,UNKNOWN_DEVICE,20250415
3317778,1744592583872,1744638026998,"UNKNOWN_DEVICE, IPHONE",20250414
19052666,1744506368602,1744574308417,"UNKNOWN_DEVICE, IPHONE",20250413
5681582,1744464556684,1744477215097,"UNKNOWN_DEVICE, IPHONE",20250412
4155412,1744333556317,1744390914409,"UNKNOWN_DEVICE, IPHONE",20250411
8479897,1744284169585,1744318866710,"UNKNOWN_DEVICE, IPHONE",20250410
2313612,1744196410703,1744203883532,"UNKNOWN_DEVICE, IPHONE",20250409
5507024,1744118708291,1744139696737,"UNKNOWN_DEVICE, IPHONE",20250408
7399588,1744028767281,1744069792897,"UNKNOWN_DEVICE, IPHONE",20250407
8840405,1743901421144,1743970907521,"UNKNOWN_DEVICE, IPHONE",20250406
17043336,1743813133006,1743871996340,"UNKNOWN_DEVICE, IPHONE",20250405
7446058,1743728114257,1743788535682,"UNKNOWN_DEVICE, IPHONE",20250404
6878536,1743682866147,1743712565355,"UNKNOWN_DEVICE, IPHONE",20250403
1331752,1743597165783,1743612177236,IPHONE,20250402
3649000,1743512391358,1743538616319,UNKNOWN_DEVICE,20250401
15943968,1743379615076,1743447741322,"UNKNOWN_DEVICE, IPHONE",20250331
9831530,1743292640341,1743380293398,"UNKNOWN_DEVICE, IPHONE",20250330
16532527,1743206049248,1743292640180,"UNKNOWN_DEVICE, IPHONE",20250329
14429499,1743119928601,1743206049374,"UNKNOWN_DEVICE, IPHONE",20250328
5193974,1743037376817,1743119928584,"UNKNOWN_DEVICE, IPHONE",20250327
6918852,1742947049598,1743008585110,"UNKNOWN_DEVICE, IPHONE",20250326
8902000,1742906940921,1742947041606,UNKNOWN_DEVICE,20250325
8748785,1742774324667,1742859551476,"UNKNOWN_DEVICE, IPHONE",20250324
7181521,1742747218671,1742774324495,"UNKNOWN_DEVICE, IPHONE",20250323
9342021,1742605387265,1742683651686,"UNKNOWN_DEVICE, IPHONE",20250322
6746126,1742555357149,1742576013131,"UNKNOWN_DEVICE, IPHONE",20250321
10388355,1742432941730,1742508295755,"UNKNOWN_DEVICE, IPHONE",20250320
6145407,1742346653484,1742403137622,"UNKNOWN_DEVICE, IPHONE",20250319
6777645,1742295616135,1742333554205,"UNKNOWN_DEVICE, IPHONE",20250318
2618000,1742215206670,1742217824285,UNKNOWN_DEVICE,20250317
3418292,1742083362746,1742154031829,"UNKNOWN_DEVICE, IPHONE",20250316
7597372,1742000159680,1742087067616,"UNKNOWN_DEVICE, IPHONE",20250315
2166000,1741951855709,1741954097873,UNKNOWN_DEVICE,20250314
1966000,1741836147995,1741838030613,UNKNOWN_DEVICE,20250313
1583000,1741783100119,1741784688024,UNKNOWN_DEVICE,20250312
1621315,1741696448839,1741714264683,"UNKNOWN_DEVICE, IPHONE",20250311
4618151,1741568588434,1741632108242,"UNKNOWN_DEVICE, IPHONE",20250310
11885835,1741485793723,1741561950626,"UNKNOWN_DEVICE, IPHONE",20250309
36967044,1741406089632,1741461448077,"UNKNOWN_DEVICE, IPHONE",20250308
7283743,1741312949488,1741383468224,"UNKNOWN_DEVICE, IPHONE",20250307
8563325,1741226685757,1741299708297,"UNKNOWN_DEVICE, IPHONE",20250306
9800774,1741148185432,1741203657553,"UNKNOWN_DEVICE, IPHONE",20250305
2572964,1741089618019,1741097172138,"UNKNOWN_DEVICE, IPHONE",20250304
5094554,1740967445337,1741017728856,"UNKNOWN_DEVICE, IPHONE",20250303
7668326,1740881107933,1740956199194,"UNKNOWN_DEVICE, IPHONE",20250302
1090247,1740794894526,1740795984655,IPHONE,20250301
12020496,1740700639163,1740777274916,"UNKNOWN_DEVICE, IPHONE",20250228
14673238,1740663282285,1740700639153,"UNKNOWN_DEVICE, IPHONE",20250227
5750304,1740576301114,1740592131541,"UNKNOWN_DEVICE, IPHONE",20250226
5909000,1740484816103,1740501849874,UNKNOWN_DEVICE,20250225
5113848,1740363174361,1740428972624,"UNKNOWN_DEVICE, IPHONE",20250224
5388467,1740276171893,1740336729671,IPHONE,20250223
8862605,1740190177771,1740251102909,"UNKNOWN_DEVICE, IPHONE",20250222
6900358,1740103478992,1740160574745,"UNKNOWN_DEVICE, IPHONE",20250221
14548772,1740009798142,1740074487291,"UNKNOWN_DEVICE, IPHONE",20250220
2246560,1739973216149,1739985767925,"UNKNOWN_DEVICE, IPHONE",20250219
2110000,1739726865309,1739739809650,UNKNOWN_DEVICE,20250216
6162234,1739493935871,1739564186947,"UNKNOWN_DEVICE, IPHONE",20250214
4145000,1739452710895,1739479719878,UNKNOWN_DEVICE,20250213
7103000,1739284847300,1739294744768,UNKNOWN_DEVICE,20250211
2807000,1739192421475,1739197871991,UNKNOWN_DEVICE,20250210
5047900,1739059174858,1739145057542,"UNKNOWN_DEVICE, IPHONE",20250209
6136100,1738980399008,1739059175336,"UNKNOWN_DEVICE, IPHONE",20250208
4172000,1738886255295,1738939085006,UNKNOWN_DEVICE,20250207
10520188,1738757407065,1738796949143,"UNKNOWN_DEVICE, IPHONE",20250205
4170000,1738670402180,1738693499970,UNKNOWN_DEVICE,20250204
4208005,1738548156867,1738606075217,"UNKNOWN_DEVICE, IPHONE",20250203
7937345,1738457707519,1738534597998,"UNKNOWN_DEVICE, IPHONE",20250202
3671041,1738375542038,1738432366680,IPHONE,20250201
4471045,1738329626207,1738346321730,"UNKNOWN_DEVICE, IPHONE",20250131
12521871,1738203971809,1738266279672,"UNKNOWN_DEVICE, IPHONE",20250130
