"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2025-08-01T23:58:03.190Z,N/A,N/A,"Lil Tjay - Sex Sounds",false,"United States",N/A,1482317746,voice_control,2025-08-01T23:58:03.190Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:58:37.190Z,2025-08-01T23:58:37.190Z,2025-08-01T23:58:03.190Z,34000,34000,162000,AUDIO,0,1,0,34000
2025-08-01T23:57:44.827Z,"Radio Station",N/A,"N.W.A - Alwayz Into Somethin'",false,"United States",ra.a-569363,1440871705,voice_control,2025-08-01T23:57:44.827Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:57:55.827Z,2025-08-01T23:57:55.827Z,2025-08-01T23:57:44.827Z,11000,11000,265000,AUDIO,0,1,0,11000
2025-08-01T23:57:31.306Z,"Radio Station",N/A,"N.W.A - 100 Miles and Runnin'",false,"United States",ra.a-569363,1440826114,voice_control,2025-08-01T23:57:31.306Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:57:44.306Z,2025-08-01T23:57:44.306Z,2025-08-01T23:57:31.306Z,13000,13000,273000,AUDIO,0,1,0,13000
2025-08-01T23:48:57.988Z,N/A,N/A,"Minecraft Steve - Mine Diamonds",false,"United States",N/A,1707184179,voice_control,2025-08-01T23:48:57.988Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:49:41.988Z,2025-08-01T23:49:41.988Z,2025-08-01T23:48:57.988Z,44000,44000,227000,AUDIO,0,1,0,44000
2025-08-01T23:48:28.998Z,N/A,N/A,"Mcap Steve - Diamond Mine",false,"United States",N/A,1329582949,voice_control,2025-08-01T23:48:28.998Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:48:56.998Z,2025-08-01T23:48:56.998Z,2025-08-01T23:48:28.998Z,28000,28000,149000,AUDIO,0,1,0,28000
2025-08-01T23:47:37.735Z,N/A,N/A,"demmy - The Grand Wizard Man Is B(l)Ack",false,"United States",N/A,1726758146,voice_control,2025-08-01T23:47:37.735Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:48:19.735Z,2025-08-01T23:48:19.735Z,2025-08-01T23:47:37.735Z,42000,42000,123000,AUDIO,0,1,0,42000
2025-08-01T23:44:51.207Z,N/A,N/A,"Fetty Wap - 679 (feat. Monty)",false,"United States",N/A,1039459656,voice_control,2025-08-01T23:44:51.207Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:47:35.469Z,2025-08-01T23:47:35.469Z,2025-08-01T23:45:17.469Z,138000,138000,187000,AUDIO,0,1,0,264000
2025-08-01T23:43:53.726Z,N/A,N/A,"Fetty Wap - Trap Queen",false,"United States",N/A,1039459590,voice_control,2025-08-01T23:43:53.726Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:44:48.726Z,2025-08-01T23:44:48.726Z,2025-08-01T23:43:53.726Z,55000,55000,222000,AUDIO,0,1,0,55000
2025-08-01T23:43:04.394Z,Album,"Rico Nasty - Hard - Single","Rico Nasty - Hard",false,"United States",1490025549,1490025551,voice_control,2025-08-01T23:43:04.394Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:43:53.394Z,2025-08-01T23:43:53.394Z,2025-08-01T23:43:04.394Z,49000,49000,157000,AUDIO,0,1,0,49000
2025-08-01T23:42:46.727Z,N/A,N/A,"Ozzy Osbourne - I Don't Wanna Stop",false,"United States",N/A,918832277,voice_control,2025-08-01T23:42:46.727Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:44:19.727Z,2025-08-01T23:44:19.727Z,2025-08-01T23:42:46.727Z,93000,93000,240000,AUDIO,0,1,0,93000
